Category,Subcategory,Granular Category,Definition,,,,,,,,,,,,,,,,,,,,,,
Hardware,Client Computing,Peripherals > Sound / Audio Device,"A sound/audio device is a hardware component capable of producing, recording, or reproducing sound. Examples include speakers, microphones, headphones, and audio interfaces.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Client Computing,Peripherals > Unclassified Peripheral,"A peripheral device is a hardware component that is external to a computer system used to input data, output information, or store data.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Client Computing,Components,Components are uniquely identifiable parts of a computing device. Many components make up a single computing device.,,,,,,,,,,,,,,,,,,,,,,
Hardware,Network Infrastructure,Customer Premise Equipment > Bridges,"Bridges are devices that connect networks together, extending the reach of a network and allowing communication between devices on different networks.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Network Infrastructure,Customer Premise Equipment > Concentrators,Concentrators are devices that combine multiple data streams into a single stream for transmission over a single channel. Their purpose is to reduce the number of cables required and improve network efficiency.,,,,,,,,,,,,,,,,,,,,,,
Hardware,Network Infrastructure,Customer Premise Equipment > Gateways,Gateways are devices that interconnect networks with different network protocol technologies by performing the required protocol conversions. The activities of a gateway are more complex than that of the router or switch because it communicates using more than one protocol.,,,,,,,,,,,,,,,,,,,,,,
Hardware,Network Infrastructure,Customer Premise Equipment > Private Switch,A private switch is a type of network switch used within a private network that provides switching capabilities for internal communication and data transfer between devices within the network.,,,,,,,,,,,,,,,,,,,,,,
Hardware,Network Infrastructure,Customer Premise Equipment > Modems,"A modem is a device that modulates and demodulates data signals, allowing communication over a physical medium such as a telephone line or cable connection. It is primarily used to connect computers to the internet.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Network Infrastructure,Customer Premise Equipment > Routers,"Routers are network devices that forward data packets between networks, connect multiple networks together, and route traffic efficiently.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Network Infrastructure,Customer Premise Equipment > Wireless Access Points,"Wireless access points (WAPs) are devices that provide wireless network connectivity. They transmit and receive data signals, allowing digital devices to connect to the internet wirelessly.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Network Infrastructure,Customer Premise Equipment > Voice / Multimedia Device > Mobile,"Mobile devices are portable and generally wireless electronic devices such as smartphones, tablets, and laptops.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Network Infrastructure,Customer Premise Equipment > Voice / Multimedia Device > Fixed,"Fixed multimedia/voice devices are devices that are designed to be used in a stationary location. Examples include landline phones, desktop computers, and home theater systems.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Network Infrastructure,Customer Premise Equipment > Unclassified,Unclassified refers to technology that is waiting to be assigned by HG or falls outside the standard taxonomy classifications.,,,,,,,,,,,,,,,,,,,,,,
Hardware,Network Infrastructure,Telecommunication Equipment > Public Switching Equipment > Analogue,Analogue public switching equipment is a type of telecommunications equipment that uses continuously varying physical quantities (such as voltage or sound waves) to connect telephone lines together.,,,,,,,,,,,,,,,,,,,,,,
Hardware,Network Infrastructure,Telecommunication Equipment > Public Switching Equipment > Digital,"Digital public switching equipment is a type of telecommunications equipment used to connect telephone lines. It uses digital technology to represent and transmit data, allowing for higher-quality, efficiency, and versatile communication.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Network Infrastructure,Telecommunication Equipment > Transmission Equipment > Radio,"Radio transmission equipment is hardware used to transmit and receive radio waves. Examples include components such as transmitters, receivers, antennas, and modulation/demodulation circuits.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Network Infrastructure,Telecommunication Equipment > Transmission Equipment > Fixed,"Fixed transmission equipment is hardware designed for stationary use, such as infrastructure like telecommunications networks.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Network Infrastructure,Telecommunication Equipment > Transmission Equipment > Satellite,"Satellite transmission equipment is hardware used to transmit and receive data signals via satellites orbiting the Earth. It includes satellite dishes, antennas, modems, and amplifiers.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Security,Security Appliances > Content Filtering and Antispam Appliances,"Content filtering and antispam appliances are devices that examine network traffic to identify and block harmful or unwanted content, such as malware, viruses, and spam.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Security,Security Appliances > Encryption and SSL Accelerators,"Encryption and SSL Accelerators are security measures used to protect sensitive information. Encryption refers to the conversion of data into code, making it unreadable. SSL (Secure Socket Layer) Accelerators are hardware devices designed to offload the computationally intensive tasks of SSL/TLS encryption and decryption from the server's CPU.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Security,Security Appliances > Firewall Appliance,"A firewall appliance is a hardware device that protects networks from unauthorized access, prevents cyberattacks, and safeguards data. It monitors incoming and outgoing network traffic, filters out malicious activity, and enforces security policies.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Security,Security Appliances > Physical Security Devices,"Physical Security Devices are security hardware used to monitor and control access to systems and locations. Examples include card readers, biometric scanners, surveillance cameras, and alarm systems which are designed to safeguard property and personnel.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Server Computing,High End Servers,High end servers are generally used in centralized computing environments and are located within the data center and ranges from few terabytes to hundreds of terabytes. These servers ensure higher system availability via mirroring of cache and disk and offer higher level of data protection.,,,,,,,,,,,,,,,,,,,,,,
Hardware,Server Computing,Mid Range Servers,Mid-range servers are used in distributed computing environments and offers RAID protection and replication. This commodity hardware is best suited for discrete applications and offers relatively lower system availability compared to high end servers.,,,,,,,,,,,,,,,,,,,,,,
Hardware,Storage,Direct Attached Storage,Direct attached storage devices are directly attached to the computer or a server. For ex- Internal hard drive.,,,,,,,,,,,,,,,,,,,,,,
Hardware,Storage,Network Attached Storage,Network attached storage devices are connected to computers or servers on a network and provide additional storage space for the computers or servers.,,,,,,,,,,,,,,,,,,,,,,
Hardware,Storage,Storage Area Networks,Storage area network is a high speed network of storage devices connected to the servers. SAN provides block level data storage.,,,,,,,,,,,,,,,,,,,,,,
Hardware,Storage,Tape Systems,"Tape systems are storage devices that read and write data on a magnetic tape. These storage devices are used for offline, backup or archival data storage.",,,,,,,,,,,,,,,,,,,,,,
Hardware,Storage,Unclassified Storage,"Storage systems which are not classified as Direct attached storage, NAS, SAN or tap systems.",,,,,,,,,,,,,,,,,,,,,,
Services,Application Led Outsourcing,Application Development and Maintenance > One-time Activity,"Application Development and Maintenance (ADM) encompasses the entire lifecycle of software applications, from inception to ongoing customer support. It includes developing custom solutions to solve a specific business need, modifying existing applications to adapt to evolving requirements, and improving applications to correct errors and ensure optimal performance and security through proactive maintenance.",,,,,,,,,,,,,,,,,,,,,,
Services,Application Led Outsourcing,Application Hosting > Ongoing Activity,"Application Hosting is the storage, running, and management of applications on remote servers owned either by the enterprise or a service provider. This service provides the necessary infrastructure, including hardware, software, and network connectivity, to ensure applications are accessible and functional including support, maintenance, guaranteed uptime, backups, performance tuning, and updates.",,,,,,,,,,,,,,,,,,,,,,
Services,Application Led Outsourcing,Application Management > Ongoing Activity,"Application Management is the day-to-day management, support, planning, and maintenance of custom or packaged software applications licensed by the customer.  It involves activities like performance monitoring, incident management, change management, availability, and security.",,,,,,,,,,,,,,,,,,,,,,
Services,Application Led Outsourcing,Application Testing/Quality Management > One-time Activity,"A service providers responsibilities include the validation and testing of new, existing or modified application(s). Testing ensures that the software application meets the business and technical requirements of the client. The service provider will test the application for security, operability and durability.",,,,,,,,,,,,,,,,,,,,,,
Services,Infrastructure Led Outsourcing,Infrastructure Management > Ongoing Activity,"Providing services for the continued management, operation, and availability of an organization’s IT infrastructure, consisting of hardware; software and network resources. The infrastructure is remotely managed and the performance is measured against agreed service level agreements.",,,,,,,,,,,,,,,,,,,,,,
Services,Infrastructure Led Outsourcing,Infrastructure Hosting > Ongoing Activity,"A service provider will host in its own data centers, a customer’s own assets or rent to a customer, servers, mainframes, storage, and network devices, providing associated disaster recovery; network; and security services.",,,,,,,,,,,,,,,,,,,,,,
Services,Infrastructure Led Outsourcing,Infrastructure Testing > One-time Activity,Services provided include the validation of the suitability; availability and performance of a client’s existing or newly deployed IT infrastructure to meet the stated business and technical requirements of the client. Typically services are contracted where clients look to deploy changes such as data center consolidation; virtualization and technology upgrades.,,,,,,,,,,,,,,,,,,,,,,
Services,Infrastructure Led Outsourcing,Data Center Outsourcing > Ongoing Activity,A service provider acquires and manages a client’s physical data center(s) and provides the day-to-day running of servers; mainframes; networks and storage. The service provider also optimizes and enhances the service delivery and maintains the agreed levels of service.,,,,,,,,,,,,,,,,,,,,,,
Services,Infrastructure Led Outsourcing,Server Management > Ongoing Activity,The service provider is responsible for the day-to-day monitoring; operations; availability; maintenance and support of the client’s servers.,,,,,,,,,,,,,,,,,,,,,,
Services,Infrastructure Led Outsourcing,Storage Services > Ongoing Activity,"The service provider is responsible for the maintenance; capacity planning; deployment; backup; archive and retrieval, and management of offline and online storage systems and networks. Services may be delivered on-site in customer data centers, or through a service provider or third-party remotely hosted site.",,,,,,,,,,,,,,,,,,,,,,
Services,Infrastructure Led Outsourcing,Business Continuity / Disaster Recovery > Ongoing Activity,"Providing services to ensure continued operations in the aftermath of a catastrophic natural disaster or national emergency. Services may include restoring servers or mainframes with backups, re-establishing connectivity or provisioning networks to meet immediate business needs.",,,,,,,,,,,,,,,,,,,,,,
Services,Infrastructure Led Outsourcing,Hardware Integration > One-time Activity,The installation and integration of printers; storage devices; servers; desktops; workstations and mainframes.,,,,,,,,,,,,,,,,,,,,,,
Services,Infrastructure Led Outsourcing,Co-location Services > Ongoing Activity,"The services provider will rent out space in its data center in which customers can install their servers and networking equipment. The services provider will also provide the power, bandwidth, IP address and cooling systems that the customer will require in order to successfully deploy and run their equipment’s.",,,,,,,,,,,,,,,,,,,,,,
Services,Network Services,Network Consulting > One-time Activity,Services provided include the planning; specification; and design of network; architectures and roadmaps/plans. Services are similar to IT consulting but incorporates services with respect to the development of Network/LAN/WAN.,,,,,,,,,,,,,,,,,,,,,,
Services,Network Services,Network Integration > One-time Activity,The Service provider is responsible for the planning and development of voice; mobile and data networks. Services to be provided include installation; configuration; Network related software development; testing; staging; project management and security implementation activities. Network technologies comprise: computer network infrastructure equipment; data communications equipment; remote access equipment; LAN/WAN switches and routers; network interface cards and software-defined network infrastructure.,,,,,,,,,,,,,,,,,,,,,,
Services,Network Services,Network Management > Ongoing Activity,The Service provider is responsible for the installation and day-to-day management of network tools as well as the integration and management of private Wide-Area Networks (WAN) and Local Area Networks (LAN). The service provider will also assist with fault isolation and resolution which will optimize the efficiency of networks and avoid downtime. The service provider also installs and configures the system; manages network software upgrades; hardware upgrades and user management on the network.,,,,,,,,,,,,,,,,,,,,,,
Services,Network Services,Network Infrastructure > One-time Activity,"Services provided include the deployment of network hardware infrastructure like small cells deployments, Router deployments, LAN/WAN Switches, Gateways. Services provided lack the integration, management and maintenance of network.",,,,,,,,,,,,,,,,,,,,,,
Services,End User Services,Service Desk > Ongoing Activity,"The Service desk provider acts as a central point of contact for reporting incidents and service requests; managing the escalation and resolution processes. The service desk provider is the single point of contact for all service provider; end-user and IT operations incidents. A service desk provider can also coordinate change management, problem management, configuration management, release and continuity management activities.",,,,,,,,,,,,,,,,,,,,,,
Services,End User Services,Desktop Management > Ongoing Activity,The Service provider is responsible for the procurement; deployment; remote management and break/fix maintenance of IT assets (hardware and software); deskside support and network services. The service provider will provide support for desktop PCs and laptops as well as manage mobile devices such as tablets and smartphone to provide access to enterprise applications; network and data.,,,,,,,,,,,,,,,,,,,,,,
Services,End User Services,Helpdesk Management > Ongoing Activity,The Service provider acts as a first level support channel for the service desk and refers end-users enquiries to the relevant technical staff.,,,,,,,,,,,,,,,,,,,,,,
Services,End User Services,Managed Security Services > Ongoing Activity,"Services provided include the design; development; management and continuous operation of the client’s IT security systems. Services providers also manage all areas of IT security, including firewalls; content filtering; intrusion/threat detection; ID and access management; biometrics; and threat mitigation.",,,,,,,,,,,,,,,,,,,,,,
Services,End User Services,Professional Services > One-time Activity,"Services provided include migration of workload to new hardware systems; software systems and data centers. Services provider will also develop technical training programs for the client’s staff; provide project/program evaluation, and translation services.",,,,,,,,,,,,,,,,,,,,,,
Services,End User Services,Managed Print Services > Ongoing Activity,"The services provider will be responsible for the management of a client’s document output. The services provided include needs assessment, replacement of hardware (such as printers, fax machines, copiers and multifunction devices), replacement of parts and supplies needed to operate the new and/or existing hardware and provision of associated services.",,,,,,,,,,,,,,,,,,,,,,
Services,End User Services,Content Services > Ongoing Activity,"Services provided include the creation, aggregation, management, personalization, and distribution of static and dynamic information via the Web and other networks.",,,,,,,,,,,,,,,,,,,,,,
Services,Consulting,Automation Advisory > One-time Activity,Services provided include the planning; specification and design of systems and processes for the sole purpose of automating people dependent tasks.,,,,,,,,,,,,,,,,,,,,,,
Services,Consulting,Business Consulting > One-time Activity,Services provided include assisting client in developing business strategy; improving processes; business process re-engineering; capacity planning; and change management services.,,,,,,,,,,,,,,,,,,,,,,
Services,Consulting,IT Consulting > One-time Activity,Services provided include the planning; specification and design of systems; architectures; and infrastructures.,,,,,,,,,,,,,,,,,,,,,,
Services,Consulting,Sourcing Advisory > One-time Activity,"Services provided typically focus on supporting a client through their outsourcing strategy, vendor selection and negotiation, vendor and process transition, contract specification. Services may extend to ongoing vendor and contract performance management.",,,,,,,,,,,,,,,,,,,,,,
Services,System Integration,System Integration > One-time Activity,"Services provided include linking together different computing systems and software applications physically or functionally, to act as a coordinated whole.",,,,,,,,,,,,,,,,,,,,,,
Services,Business Process Outsourcing,Analytics / Business Intelligence > Ongoing Activity,Analyzing client business data to help the client make better decisions. Services typically include the production of reports and client dashboards.,,,,,,,,,,,,,,,,,,,,,,
Services,Business Process Outsourcing,Customer Relationship Management (CRM) BPO > Ongoing Activity,"Customer Relationship Management (CRM) BPO is the delegation of customer-handling functions to a third-party provider. Activities include single or multi-channel support (inquiries across phone, email, chat, text, and social media), inbound and outbound customer contact services, IVR and call routing, webchat, and agent voice communications.",,,,,,,,,,,,,,,,,,,,,,
Services,Business Process Outsourcing,Finance and Accounting (F&A) BPO > Ongoing Activity,Services provided to support operations for the transactional and financial support functions of a client. Typical F&A BPO process outsourcing includes accounts payable and receivable; accounts reconciliation and reporting; purchase order processing and general ledger.,,,,,,,,,,,,,,,,,,,,,,
Services,Business Process Outsourcing,Human Resources (HR) BPO > Ongoing Activity,Services provided to support the operation of HR shared services; Services include: recruitment; payroll; benefits administration; relocation and assignment services; and talent management/ workforce development .,,,,,,,,,,,,,,,,,,,,,,
Services,Business Process Outsourcing,Procurement BPO > Ongoing Activity,The Service provider will be responsible for the sourcing and supply chain management activities for a client. The service provider will provide direct procurement services to manage all or part of the process for the procurement of goods and services that are core (Go into the manufacturer of goods or services) and non core (for internal use) to an end user clients activities.,,,,,,,,,,,,,,,,,,,,,,
Services,Business Process Outsourcing,Industry-specific BPO > Ongoing Activity,Services provided are specific to the industry of the client such as patient administration; clinical data management for healthcare providers; insurance claims and transaction processing for insurance providers.,,,,,,,,,,,,,,,,,,,,,,
Services,Business Process Outsourcing,KPO > Ongoing Activity,Services provided include research and development; financial consultancy and services; business and technical analysis; business research; copy and content development.,,,,,,,,,,,,,,,,,,,,,,
Services,Business Process Outsourcing,Legal Services Outsourcing > Ongoing Activity,Services provided to an organization obtaining legal support services from an outside law firm or legal support company. Services provided include agency work; document review; legal research; drafting of pleadings and briefs and patent services.,,,,,,,,,,,,,,,,,,,,,,
Services,Business Process Outsourcing,Robotic Process Automation (RPA) > Ongoing Activity,"Providing technology and service solutions to automate processes and tasks ‘within an existing application environment’. Examples include the automation of business processes, IT support processes, workflow processes, remote infrastructure and back-office work.",,,,,,,,,,,,,,,,,,,,,,
Services,Business Process Outsourcing,Processing Services > Ongoing Activity,"The services provider will be responsible for the management of business process involving repetitive activities to process large volumes of similar information. Examples: claims processing (healthcare and insurance), check processing, consumer payment processing, payroll processing and electronic data processing.",,,,,,,,,,,,,,,,,,,,,,
Services,Cloud Services,Business-Process-as-a-Service (BPaaS) > Ongoing Activity,"Provision of business process outsourcing (BPO) services sourced over the cloud. The services are highly standardized and automated and could be provided as SaaS, IaaS and Paas. Services are provided under Consumption based or subscription based pricing models.",,,,,,,,,,,,,,,,,,,,,,
Services,Cloud Services,Desktop-as-a-Service (DaaS) / Workplace-as-a-Service (WaaS) > Ongoing Activity,"The provision of virtual desktop infrastructure (VDI) from a public cloud, private cloud or a service provider’s data centers. Services are provided under a pay-per-use pricing model.",,,,,,,,,,,,,,,,,,,,,,
Services,Cloud Services,Infrastructure-as-a-Service (IaaS) > Ongoing Activity,The provision of compute resources complemented by storage resources; network resources owned and hosted by the service provider. These resources are virtualized. The services provider may deliver the managed services from its own datacenter(s) or may provide services around a third-party public cloud (such as Microsoft Azure; Rackspace Cloud or Amazon Web Services).,,,,,,,,,,,,,,,,,,,,,,
Services,Cloud Services,Platform-as-a-Service (PaaS) > Ongoing Activity,"The provision of cloud platform to develop, deploy, run, manage, and maintain applications, APIs or data assets. The services provider may deliver the managed services from its own datacenter(s) or may provide services around a third-party public cloud (such as Amazon Web Services, Rackspace Cloud or Microsoft Azure).",,,,,,,,,,,,,,,,,,,,,,
Services,Cloud Services,Software-as-a-Service (SaaS) > Ongoing Activity,The provision of software over a cloud platform where the software is licensed on a subscription basis and managed by the service provider. Service providers may also deliver their own / third-party software (under license) and services from their own / third-party data centers as SaaS. Services provided will include customization; migration and on-boarding services.,,,,,,,,,,,,,,,,,,,,,,
Services,Service integration and Management,Service integration and Management (SIAM) > Ongoing Activity,"In a multisource IT outsourcing environment a SIAM provider will integrate interdependent services from various external and internal service providers into end-to-end services to meet the business requirements of a customer. The SIAM provider governs these other services providers. SIAM providers do not own the contracts with other service providers, these remain owned by the customer.",,,,,,,,,,,,,,,,,,,,,,
Services,Digital Enterprise,Digital Transformation > One-Time Activity,"Strategy and transformation consulting services, supporting senior business stakeholders such as CEOs; COOs; Chief marketing officers (CMOs) and other business leaders, to leverage digital technologies to enable innovation within their business and operating models. Specific capabilities include consulting services for digital strategy and transformation, digital operations, and digital customer experience.",,,,,,,,,,,,,,,,,,,,,,
Services,Digital Enterprise,Enterprise Mobility > Ongoing Activity,"IT and process management services required by a company to acquire, provision and support smartphones, tablets and ruggedized field force devices with integrated cellular and/or wireless connectivity.",,,,,,,,,,,,,,,,,,,,,,
Services,Digital Enterprise,Social collaboration/Enterprise social networking/Enterprise 2.0 > Ongoing Activity,Modifications to corporate intranets (referred to as social intranets) and other software platforms used by large companies to support communication and collaboration processes,,,,,,,,,,,,,,,,,,,,,,
Services,Digital Enterprise,Unified Communications and Collaboration > Ongoing Activity,"Services provided to integrate tools, process and people to achieve effective communications, agility and operational efficiency within an organization. Systems might include: Enterprise content management (ECM); e-mail and calendaring; Web conferencing; shared work spaces/team collaboration; Instant Messaging; e-learning suites; information access with search; and ECM systems.",,,,,,,,,,,,,,,,,,,,,,
Services,Digital Enterprise,Blockchain > One-Time Activity,Blockchain is a digital ledger in which transactions are recorded chronologically and publicly. The transactions could be made in bitcoin or any other cryptocurrency.,,,,,,,,,,,,,,,,,,,,,,
Services,Internet of Things (IoT),Smart Factory / Industry 4.0 (Manufacturing Application) > One-Time Activity,Use of Internet of Things and embedded technology to communicate with IT systems to streamline the manufacturing process.,,,,,,,,,,,,,,,,,,,,,,
Services,Internet of Things (IoT),Smart Transportation / Car IT (Transportation Application) > One-Time Activity,Use of Internet of Things and embedded technology to communicate with IT systems in a car and a contract station to drive a vehicle or monitor vehicle.,,,,,,,,,,,,,,,,,,,,,,
Services,Internet of Things (IoT),Smart Energy (Energy Management Application) > One-Time Activity,Use of Internet of Things and embedded technology to communicate with IT systems and to monitor and maintain production and distribution of electricity.,,,,,,,,,,,,,,,,,,,,,,
Services,Internet of Things (IoT),Smart Health (Medical and healthcare application) > One-Time Activity,Use of Internet of Things and embedded technology to communicate with IT systems and to monitor and maintain the health of patients.,,,,,,,,,,,,,,,,,,,,,,
Services,Internet of Things (IoT),Industry Specific IoT Applications > One-Time Activity,Services provided are specific to an industry. Use of Internet of Things and embedded technology to communicate with IT systems to streamline the process within a company.,,,,,,,,,,,,,,,,,,,,,,
Services,Telecommunication Services,Fixed Voice > Ongoing Activity,Includes the provision of local and long-distance services related to voice (calling charges; line rental/subscription and connection fees are included in this category); enhanced voice services; data and fax transmission over the circuit-switched PSTN; Voice over IP (Excludes wholesale or carrier-to-carrier revenue and services).,,,,,,,,,,,,,,,,,,,,,,
Services,Telecommunication Services,Fixed Data > Ongoing Activity,"The provision of dedicated/private line, packet and circuit-switched access services (for example, frame relay, asynchronous transfer mode, IP, Integrated Services Digital Network, DSL, multichannel multipoint distribution service [MMDS] and satellite) services. All types of transmissions — non voice data, image, video, fax, interactive services and even voice can be carried by these services regardless of whether the source format is analog or digital.",,,,,,,,,,,,,,,,,,,,,,
Services,Telecommunication Services,Mobile Services > Ongoing Activity,Provision of mobile telephone calls and mobile data usage (Short Message Service [SMS] and mobile data access) through portable or mobile terminals that communicate through ground based wireless cell towers. ,,,,,,,,,,,,,,,,,,,,,,
Services,Telecommunication Services,Satellite Communications Services > Ongoing Activity,Telephone and data services provided through portable or mobile terminals that communicate via telecommunications satellites.,,,,,,,,,,,,,,,,,,,,,,
Unclassified,Non-IT Product,,Unclassified technology is either not yet categorized or falls outside of the standard technology categories.,,,,,,,,,,,,,,,,,,,,,,
